date_id,date_iso_format,year_number,quarter_number,month_number,day_number,month_name,day_name,week_of_the_year,week_of_the_month
20130315,2013-03-15,2013,1,3,15,March,Friday,10,3
20130316,2013-03-16,2013,1,3,16,March,Saturday,10,3
20130317,2013-03-17,2013,1,3,17,March,Sunday,11,3
20130318,2013-03-18,2013,1,3,18,March,Monday,11,3
20130319,2013-03-19,2013,1,3,19,March,Tuesday,11,3
20130320,2013-03-20,2013,1,3,20,March,Wednesday,11,3
20130321,2013-03-21,2013,1,3,21,March,Thursday,11,3
20130322,2013-03-22,2013,1,3,22,March,Friday,11,4
20130323,2013-03-23,2013,1,3,23,March,Saturday,11,4
20130324,2013-03-24,2013,1,3,24,March,Sunday,12,4
20130325,2013-03-25,2013,1,3,25,March,Monday,12,4
20130326,2013-03-26,2013,1,3,26,March,Tuesday,12,4
20130327,2013-03-27,2013,1,3,27,March,Wednesday,12,4
20130328,2013-03-28,2013,1,3,28,March,Thursday,12,4
20130329,2013-03-29,2013,1,3,29,March,Friday,12,5
20130330,2013-03-30,2013,1,3,30,March,Saturday,12,5
20130331,2013-03-31,2013,1,3,31,March,Sunday,13,5
20130401,2013-04-01,2013,2,4,1,April,Monday,13,1
20130402,2013-04-02,2013,2,4,2,April,Tuesday,13,1
20130403,2013-04-03,2013,2,4,3,April,Wednesday,13,1
20130404,2013-04-04,2013,2,4,4,April,Thursday,13,1
20130405,2013-04-05,2013,2,4,5,April,Friday,13,1
20130406,2013-04-06,2013,2,4,6,April,Saturday,13,1
20130407,2013-04-07,2013,2,4,7,April,Sunday,14,1
20130408,2013-04-08,2013,2,4,8,April,Monday,14,2
20130409,2013-04-09,2013,2,4,9,April,Tuesday,14,2
20130410,2013-04-10,2013,2,4,10,April,Wednesday,14,2
20130411,2013-04-11,2013,2,4,11,April,Thursday,14,2
20130412,2013-04-12,2013,2,4,12,April,Friday,14,2
20130413,2013-04-13,2013,2,4,13,April,Saturday,14,2
20130414,2013-04-14,2013,2,4,14,April,Sunday,15,2
20130415,2013-04-15,2013,2,4,15,April,Monday,15,3
20130416,2013-04-16,2013,2,4,16,April,Tuesday,15,3
20130417,2013-04-17,2013,2,4,17,April,Wednesday,15,3
20130418,2013-04-18,2013,2,4,18,April,Thursday,15,3
20130419,2013-04-19,2013,2,4,19,April,Friday,15,3
20130420,2013-04-20,2013,2,4,20,April,Saturday,15,3
20130421,2013-04-21,2013,2,4,21,April,Sunday,16,3
20130422,2013-04-22,2013,2,4,22,April,Monday,16,4
20130423,2013-04-23,2013,2,4,23,April,Tuesday,16,4
20130424,2013-04-24,2013,2,4,24,April,Wednesday,16,4
20130425,2013-04-25,2013,2,4,25,April,Thursday,16,4
20130426,2013-04-26,2013,2,4,26,April,Friday,16,4
20130427,2013-04-27,2013,2,4,27,April,Saturday,16,4
20130428,2013-04-28,2013,2,4,28,April,Sunday,17,4
20130429,2013-04-29,2013,2,4,29,April,Monday,17,5
20130430,2013-04-30,2013,2,4,30,April,Tuesday,17,5
20130501,2013-05-01,2013,2,5,1,May,Wednesday,17,1
20130502,2013-05-02,2013,2,5,2,May,Thursday,17,1
20130503,2013-05-03,2013,2,5,3,May,Friday,17,1
20130504,2013-05-04,2013,2,5,4,May,Saturday,17,1
20130505,2013-05-05,2013,2,5,5,May,Sunday,18,1
20130506,2013-05-06,2013,2,5,6,May,Monday,18,1
20130507,2013-05-07,2013,2,5,7,May,Tuesday,18,1
20130508,2013-05-08,2013,2,5,8,May,Wednesday,18,2
20130509,2013-05-09,2013,2,5,9,May,Thursday,18,2
20130510,2013-05-10,2013,2,5,10,May,Friday,18,2
20130511,2013-05-11,2013,2,5,11,May,Saturday,18,2
20130512,2013-05-12,2013,2,5,12,May,Sunday,19,2
20130513,2013-05-13,2013,2,5,13,May,Monday,19,2
20130514,2013-05-14,2013,2,5,14,May,Tuesday,19,2
20130515,2013-05-15,2013,2,5,15,May,Wednesday,19,3
20130516,2013-05-16,2013,2,5,16,May,Thursday,19,3
20130517,2013-05-17,2013,2,5,17,May,Friday,19,3
20130518,2013-05-18,2013,2,5,18,May,Saturday,19,3
20130519,2013-05-19,2013,2,5,19,May,Sunday,20,3
20130520,2013-05-20,2013,2,5,20,May,Monday,20,3
20130521,2013-05-21,2013,2,5,21,May,Tuesday,20,3
20130522,2013-05-22,2013,2,5,22,May,Wednesday,20,4
20130523,2013-05-23,2013,2,5,23,May,Thursday,20,4
20130524,2013-05-24,2013,2,5,24,May,Friday,20,4
20130525,2013-05-25,2013,2,5,25,May,Saturday,20,4
20130526,2013-05-26,2013,2,5,26,May,Sunday,21,4
20130527,2013-05-27,2013,2,5,27,May,Monday,21,4
20130528,2013-05-28,2013,2,5,28,May,Tuesday,21,4
20130529,2013-05-29,2013,2,5,29,May,Wednesday,21,5
20130530,2013-05-30,2013,2,5,30,May,Thursday,21,5
20130531,2013-05-31,2013,2,5,31,May,Friday,21,5
20130601,2013-06-01,2013,2,6,1,June,Saturday,21,1
20130602,2013-06-02,2013,2,6,2,June,Sunday,22,1
20130603,2013-06-03,2013,2,6,3,June,Monday,22,1
20130604,2013-06-04,2013,2,6,4,June,Tuesday,22,1
20130605,2013-06-05,2013,2,6,5,June,Wednesday,22,1
20130606,2013-06-06,2013,2,6,6,June,Thursday,22,1
20130607,2013-06-07,2013,2,6,7,June,Friday,22,1
20130608,2013-06-08,2013,2,6,8,June,Saturday,22,2
