location_id,borough,street,location
350,QUEENS,,BLD 06
351,FHA,111TH ROAD,190-48 111TH ROAD
352,FHA,104TH AVENUE,186-16 104TH AVENUE
353,FHA,149TH STREET,133-17 149TH STREET
354,FHA,INWOOD STREET,114-18 INWOOD STREET
355,FHA,129TH AVENUE,142-21 129TH AVENUE
356,FHA,211TH STREET,114-70 211TH STREET
357,BRONX,,BLD 3
358,MANHATTAN,,BLD 3
359,BRONX,,BLD 09
360,BRONX,,BLD 08
361,BRONX,,BLD 8
362,BRONX,,BLD 1
363,BRONX,,BLD 7
364,MANHATTAN,,BLD 46
365,QUEENS,,BLD 2
366,QUEENS,,BLD 11 - STORE 10
367,FHA,,BLD 04
368,BROOKLYN,,BLD 37
369,BROOKLYN,,
370,BROOKLYN,,BLD16 - STORE 35-36
371,MANHATTAN,,BLD02 - STORE 6 & 7
